2024-02-17 15:19:31,610 INFO    MainThread:40645 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_setup.py:_flush():76] Configure stats pid to 40645
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_setup.py:_flush():76] Loading settings from /Users/sangbin/.config/wandb/settings
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_setup.py:_flush():76] Loading settings from /Users/sangbin/maze/outputs/2024-02-17/15-19-28/wandb/settings
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_epn_3d.py', 'program': '/Users/sangbin/maze/train_epn_3d.py'}
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_init.py:_log_setup():507] Logging user logs to /Users/sangbin/maze/outputs/2024-02-17/15-19-28/wandb/run-20240217_151931-ib2l4gki/logs/debug.log
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/sangbin/maze/outputs/2024-02-17/15-19-28/wandb/run-20240217_151931-ib2l4gki/logs/debug-internal.log
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_init.py:init():547] calling init triggers
2024-02-17 15:19:31,611 INFO    MainThread:40645 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'env': {'n_envs': 1, 'norm_reward': True, 'norm_obs': True}, 'ppo': {'batch_size': 64, 'n_steps': 64, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.95, 'max_grad_norm': 1, 'ent_coef': 0.001, 'normalize_advantage': True, 'verbose': 1}, 'epn': {'embedding_size': 32, 'num_heads': 8, 'hidden_size': 128, 'num_iterations': 2}, 'optim': {'total_timesteps': 500000000, 'linear_schedule': False, 'learning_rate': 0.0005, 'clip_range': 0.2}, 'logger': {'upload_to_wandb': False, 'run_dir': None, 'proj_name': None, 'group_name': 'EPN'}, 'seed': 10}
2024-02-17 15:19:31,612 INFO    MainThread:40645 [wandb_init.py:init():596] starting backend
2024-02-17 15:19:31,612 INFO    MainThread:40645 [wandb_init.py:init():600] setting up manager
2024-02-17 15:19:31,616 INFO    MainThread:40645 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-17 15:19:31,620 INFO    MainThread:40645 [wandb_init.py:init():606] backend started and connected
2024-02-17 15:19:31,623 INFO    MainThread:40645 [wandb_init.py:init():697] updated telemetry
2024-02-17 15:19:31,659 INFO    MainThread:40645 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2024-02-17 15:19:32,223 INFO    MainThread:40645 [wandb_run.py:_on_init():2180] communicating current version
2024-02-17 15:19:32,299 INFO    MainThread:40645 [wandb_run.py:_on_init():2189] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-17 15:19:32,299 INFO    MainThread:40645 [wandb_init.py:init():781] starting run threads in backend
2024-02-17 15:19:32,470 INFO    MainThread:40645 [wandb_run.py:_console_start():2159] atexit reg
2024-02-17 15:19:32,471 INFO    MainThread:40645 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2024-02-17 15:19:32,471 INFO    MainThread:40645 [wandb_run.py:_redirect():2079] Wrapping output streams.
2024-02-17 15:19:32,471 INFO    MainThread:40645 [wandb_run.py:_redirect():2104] Redirects installed.
2024-02-17 15:19:32,472 INFO    MainThread:40645 [wandb_init.py:init():822] run started, returning control to user process
2024-02-17 15:19:33,374 INFO    MainThread:40645 [wandb_run.py:_tensorboard_callback():1428] tensorboard callback: /Users/sangbin/maze/outputs/2024-02-17/15-19-28/wandb/run-20240217_151931-ib2l4gki/files/ib2l4gki/PPO_1, True
